Position,Player,Team,Matches,Not _Out,Runs,High-Score,Century,Num_of_4s,No_of_6s
155,Sandeep Sharma,RR,12,2,2,2,0,0,0
156,Mustafizur Rahman,DC,2,1,1,1,0,0,0
157,Ishant Sharma,DC,8,1,1,1,0,0,0
158,Abdul Basith,RR,1,1,1,1,0,0,0
159,Deepak Chahar,CSK,10,1,1,1,0,0,0
160,Mohit Rathee,PBKS,1,1,1,1,0,0,0
161,Josh Hazlewood,RCB,3,1,1,1,0,0,0
162,Mohammed Siraj,RCB,14,1,1,1,0,0,0
163,Yudhvir Singh,LSG,3,0,1,1,0,0,0
164,Fazalhaq Farooqi,SRH,4,1,1,1,0,0,0
165,Nathan Ellis,PBKS,10,0,1,1,0,0,0
166,Varun Chakaravarthy,KKR,14,1,1,1,0,0,0
